Frame,Time,RightBicepsBrachiiCaputBrevis,RightTricepsBrachiiCaputLongus,LeftBicepsBrachiiCaputBrevis,LeftTricepsBrachiiCaputLongus,RightTrapeziusDescendens,LeftTrapeziusDescendens,RightLatissimusDorsi,LeftLatissimusDorsi
169,0.169,0.007186,0.007724,-0.001244,0.008426,0.002372,0.019623,0.015499,0.030497
170,0.170,0.011069,0.005989,-0.008519,0.001110,-0.000849,0.009419,0.009670,0.027240
171,0.171,0.015640,0.000703,-0.002097,0.007655,-0.001869,-0.007384,0.005864,0.024345
172,0.172,0.011254,-0.002896,-0.008018,0.013697,-0.002725,-0.009646,0.006452,0.013065
173,0.173,0.015185,0.001281,-0.002781,0.015500,-0.001881,0.004508,0.013294,0.002354
174,0.174,0.008305,-0.007564,-0.006334,0.013765,-0.004068,0.017482,0.010486,-0.001734
175,0.175,0.010902,-0.021486,-0.002102,-0.000120,-0.006092,0.002200,0.000911,-0.002923
176,0.176,0.013346,-0.015943,0.004328,0.005470,-0.007777,-0.003940,-0.002917,-0.008461
177,0.177,0.013945,-0.010904,0.001779,0.007174,-0.009454,-0.005845,-0.002005,-0.013625
178,0.178,0.017437,-0.009418,0.002445,-0.000459,-0.005881,0.002576,0.000940,-0.008991
179,0.179,0.010473,-0.005384,0.001760,0.003565,-0.004678,0.022513,-0.001858,0.000492
180,0.180,0.007746,-0.006596,-0.001288,0.002359,-0.008531,0.025207,0.000590,0.014283
181,0.181,0.008594,-0.001033,0.002760,0.005562,-0.005917,0.027568,-0.000170,0.019740
182,0.182,0.012329,0.008419,0.010536,0.017049,-0.007011,0.029773,-0.002293,0.027999
183,0.183,0.005929,0.019729,0.009504,0.024666,-0.013348,0.023692,0.005912,0.020221
184,0.184,0.008516,0.005847,0.004249,0.009470,-0.027311,0.003250,0.006853,0.007585
185,0.185,0.010772,0.011425,0.005077,0.003405,-0.033325,-0.004842,-0.000491,-0.011053
186,0.186,0.004416,0.016495,0.004225,-0.005878,-0.027650,-0.017150,-0.001413,-0.033287
187,0.187,0.000274,0.005832,-0.004233,-0.010944,-0.032619,-0.023708,-0.005696,-0.053906
188,0.188,-0.000299,0.007183,-0.007450,-0.021605,-0.040108,-0.001158,-0.017259,-0.051024
189,0.189,-0.002212,-0.001608,-0.004409,-0.017558,-0.021880,0.031902,-0.029136,-0.038573
190,0.190,0.002149,-0.002615,-0.001706,0.001379,-0.019378,0.027619,-0.018502,-0.023022
191,0.191,0.005161,0.004659,-0.000853,-0.001335,-0.008091,0.023838,-0.006004,-0.000688
192,0.192,0.002773,0.000102,0.004390,0.005932,0.002167,0.020398,-0.000957,0.007865
193,0.193,-0.003156,0.002662,0.005066,0.003747,0.019019,0.017329,0.003591,0.021238
194,0.194,-0.000450,0.003363,0.010825,0.005819,0.034667,0.014593,0.004933,0.018556
195,0.195,0.001918,0.002709,0.003905,0.007738,0.048948,0.017440,-0.001331,0.020441
196,0.196,0.000075,0.003233,0.001201,0.002733,0.062021,0.010302,-0.002350,0.001841
197,0.197,0.003305,0.002738,-0.001342,0.007379,0.050188,0.003848,-0.005405,-0.005474
198,0.198,0.000610,0.000220,-0.005088,0.000505,0.042577,-0.002086,-0.006276,-0.025649
199,0.199,0.004340,-0.002827,-0.005790,0.006818,0.027371,-0.007471,0.001471,-0.028193
200,0.200,0.002338,-0.001630,0.001129,0.001301,0.025391,-0.008893,-0.001608,-0.040274
201,0.201,-0.003888,-0.001954,-0.001591,0.000373,0.019884,-0.001058,-0.004358,-0.033469
202,0.202,-0.008253,-0.002966,-0.005829,-0.002272,0.008170,-0.004957,-0.008613,-0.019139
203,0.203,-0.007217,-0.002634,-0.003636,-0.010024,0.003791,-0.003645,0.002880,-0.002386
204,0.204,-0.007710,-0.003321,-0.000093,-0.013043,-0.005618,-0.004571,-0.005579,-0.004583
205,0.205,-0.008205,0.000547,-0.007040,-0.017602,-0.014166,-0.005542,-0.000997,-0.002528
206,0.206,-0.006344,-0.001162,-0.002473,-0.018444,-0.021730,-0.010096,0.003093,0.006795
207,0.207,-0.009052,0.000354,0.001748,-0.013208,-0.014281,-0.017904,-0.000589,0.011906
208,0.208,-0.009413,0.000696,0.003952,-0.005425,-0.013329,-0.008485,0.009773,0.016529
209,0.209,-0.007068,0.001051,0.005987,0.006071,-0.007384,-0.014810,0.005770,0.015251
210,0.210,-0.003037,0.000736,0.007685,0.001517,-0.006717,-0.025183,0.004647,0.016490
211,0.211,-0.005446,0.001785,0.001270,0.000207,-0.004703,-0.021158,0.003699,0.022085
212,0.212,-0.004133,-0.003241,0.000427,-0.000925,-0.004238,-0.017469,0.006815,0.023124
213,0.213,-0.007907,-0.001155,0.002612,0.000110,-0.003793,-0.011903,0.006035,0.022326
214,0.214,-0.006280,0.000583,0.000576,0.003149,0.001880,-0.010898,0.005255,0.009550
215,0.215,-0.005006,-0.001065,0.003630,0.007718,0.004007,-0.004483,0.004641,0.015191
216,0.216,-0.005268,-0.001531,0.003133,0.011980,0.005963,-0.000256,0.001141,0.003469
217,0.217,-0.006221,0.002725,-0.003630,0.006764,0.001679,-0.003961,0.000663,0.011144
218,0.218,-0.008541,-0.002489,-0.006337,0.008816,0.002134,0.000968,0.001180,0.001591
219,0.219,-0.006977,0.000934,-0.003641,0.009145,0.002261,-0.000852,0.001532,0.003671
220,0.220,-0.006622,0.000290,-0.002799,0.003359,0.002738,0.000906,0.005077,0.004878
221,0.221,-0.009158,0.007238,-0.002116,0.005524,-0.004234,-0.000727,0.008117,0.008074
222,0.222,-0.012378,0.004549,-0.004137,-0.002270,-0.007330,-0.000184,0.006084,0.005000
223,0.223,-0.006827,0.005415,-0.007176,-0.015969,-0.004674,0.006769,0.007101,-0.005318
224,0.224,-0.004678,-0.001484,-0.003094,-0.028991,-0.003888,0.001529,0.008119,-0.012241
225,0.225,-0.005416,0.001259,0.004698,-0.023920,-0.006156,0.000672,0.004390,-0.013397
226,0.226,-0.003794,0.002134,0.001507,-0.000928,-0.006889,0.001471,0.003195,-0.018902
227,0.227,-0.012667,-0.001551,-0.001513,0.008887,-0.003904,-0.002287,-0.003249,-0.015786
228,0.228,-0.006506,-0.000832,-0.002341,0.000104,-0.012754,-0.002984,-0.000539,-0.014855
229,0.229,-0.005608,-0.002484,0.001907,-0.002603,-0.031751,-0.002493,-0.006452,-0.007016
230,0.230,-0.004726,0.000434,-0.003329,0.004666,-0.029087,-0.005380,-0.001206,0.006689
231,0.231,-0.002171,0.004011,0.001589,-0.001945,-0.021866,-0.000680,-0.003229,0.004857
232,0.232,-0.003179,-0.002902,0.003296,-0.012084,-0.010756,-0.003784,-0.000183,0.009933
233,0.233,0.001908,-0.005909,0.005018,-0.010209,0.003393,0.002599,0.005071,0.011428
234,0.234,-0.001826,-0.003160,-0.001735,-0.011885,0.005195,0.000022,0.008629,0.010028
235,0.235,-0.001509,-0.003988,-0.002576,0.001985,0.010214,0.003675,-0.000842,0.016196
236,0.236,-0.003389,-0.003291,0.001661,0.011286,0.011677,-0.001325,0.006090,0.008326
237,0.237,-0.003080,-0.005307,-0.000534,0.016332,0.012988,-0.010898,-0.002715,0.013455
238,0.238,-0.002942,-0.004804,0.001500,0.011731,0.011754,-0.031814,-0.003740,0.021786
